_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d645,HZL HB VAR/37 - 4,BOHREGI,CZ0002001712,115.18,115.18,115.18,2.43,-0.26,-2.17
65d74ebd108ec9dc4eb3d646,"ST.DLUHOP. 1,25/25",BGTSTDL,CZ0001005870,98.73,98.73,98.73,0.65,1.23,1.91
65d74ebd108ec9dc4eb3d647,ST.DLUHOP. VAR/31,BHMSTDL,CZ0001006241,100.51,100.51,100.51,-1.29,-0.36,1.26
65d74ebd108ec9dc4eb3d648,"ČD CARGO 2,55/25",BDGCDCAR,CZ0003519456,100,100,100,2.08,-0.45,-0.64
65d74ebd108ec9dc4eb3d649,"ST.DLUHOP. 0,00/24",BHTSTDL,CZ0001006480,98.76,98.76,98.76,0.48,-0.5,-1.05
65d74ebd108ec9dc4eb3d64a,EUC VAR/27,BDBEUC,CZ0003540965,100,100,100,1.19,0.67,-0.74
65d74ebd108ec9dc4eb3d64b,HZL UCB VAR/37,BDGVERBA,CZ0002001910,117.19,117.19,117.19,-1.9,-0.96,1.86
65d74ebd108ec9dc4eb3d64c,"ST.DLUHOP. 6,20/31",BICSTDL,CZ0001006969,112.08,112.08,112.08,0.84,-2,-2.2
65d74ebd108ec9dc4eb3d64d,"ČSNF SICAV 8,30/27",BDEBOHRE,CZ0003548893,101.06,101.06,101.06,-1.95,-0.65,-1.04
65d74ebd108ec9dc4eb3d64e,UNICAP.INV. VAR/25,BDAUNIIP,CZ0003538100,100,100,100,0.84,2.56,1.94
65d74ebd108ec9dc4eb3d64f,"ST.DLUHOP. 0,25/27",BGBSTDL,CZ0001005037,96.81,96.81,96.81,-2.24,-1.4,-1.6
65d74ebd108ec9dc4eb3d650,"ST.DLUHOP. 0,05/29",BHDSTDL,CZ0001006076,91.93,91.93,91.93,-0.72,-0.72,-1.97
65d74ebd108ec9dc4eb3d651,"DIRECT 8,60/27",BDCDIRFI,CZ0003556458,100,100,100,-0.87,-0.91,-0.11
65d74ebd108ec9dc4eb3d652,"SATPO FIN. 7,10/26",BDASATFI,CZ0003537052,100,100,100,-1.47,-0.88,-1.08
65d74ebd108ec9dc4eb3d653,CSG VAR/26,BDECZEGR,CZ0003532681,98.3,98.3,98.3,-1.5,-2.13,-0.32
65d74ebd108ec9dc4eb3d654,"HZL UCB 3,04/28",BDJVERBA,CZ0002003114,100,100,100,-0.18,-0.13,-1.84
